,Date,Count
645,2014-10-08,11261
646,2014-10-09,11230
647,2014-10-10,8144
648,2014-10-11,5697
649,2014-10-12,9419
650,2014-10-13,6611
651,2014-10-14,10900
652,2014-10-15,6100
653,2014-10-16,10076
654,2014-10-17,11940
655,2014-10-18,10848
656,2014-10-19,8121
657,2014-10-20,9426
658,2014-10-21,7467
659,2014-10-22,4386
660,2014-10-23,9754
661,2014-10-24,10453
662,2014-10-25,11182
663,2014-10-26,10253
664,2014-10-27,10538
665,2014-10-28,11582
666,2014-10-29,9396
667,2014-10-30,10045
668,2014-10-31,9575
669,2014-11-01,6064
670,2014-11-02,5643
671,2014-11-03,8563
672,2014-11-04,9809
673,2014-11-05,9118
674,2014-11-06,7306
675,2014-11-07,8690
676,2014-11-08,7551
677,2014-11-09,7826
678,2014-11-10,9294
679,2014-11-11,10772
680,2014-11-12,9539
681,2014-11-13,7124
682,2014-11-14,7018
683,2014-11-15,5938
684,2014-11-16,4737
685,2014-11-17,4083
686,2014-11-18,5528
687,2014-11-19,5982
688,2014-11-20,7235
689,2014-11-21,6345
690,2014-11-22,5561
691,2014-11-23,5560
692,2014-11-24,9142
693,2014-11-25,8127
694,2014-11-26,1424
695,2014-11-27,1843
696,2014-11-28,2609
697,2014-11-29,3651
698,2014-11-30,4966
699,2014-12-01,6314
700,2014-12-02,2653
701,2014-12-03,6853
702,2014-12-04,7332
703,2014-12-05,5986
704,2014-12-06,2677
705,2014-12-07,5253
706,2014-12-08,6026
707,2014-12-09,3290
708,2014-12-10,6697
709,2014-12-11,6320
710,2014-12-12,6760
711,2014-12-13,5623
712,2014-12-14,5247
713,2014-12-15,7638
714,2014-12-16,5947
715,2014-12-17,7369
716,2014-12-18,6313
717,2014-12-19,5867
718,2014-12-20,3847
719,2014-12-21,3552
720,2014-12-22,2963
721,2014-12-23,3720
722,2014-12-24,1212
723,2014-12-25,1635
724,2014-12-26,2911
725,2014-12-27,4181
726,2014-12-28,2861
727,2014-12-29,5142
728,2014-12-30,5162
729,2014-12-31,4209
730,2015-01-01,2578
731,2015-01-02,5108
732,2015-01-03,1703
733,2015-01-04,3658
734,2015-01-05,5222
735,2015-01-06,2060
736,2015-01-07,3035
737,2015-01-08,2952
738,2015-01-09,4214
739,2015-01-10,2673
740,2015-01-11,3451
741,2015-01-12,2155
742,2015-01-13,5473
743,2015-01-14,4555
744,2015-01-15,5774
745,2015-01-16,5683
746,2015-01-17,4217
747,2015-01-18,2523
748,2015-01-19,4634
749,2015-01-20,6263
750,2015-01-21,5350
751,2015-01-22,6369
752,2015-01-23,4733
753,2015-01-24,3472
754,2015-01-25,5159
755,2015-01-26,2429
756,2015-01-27,4067
757,2015-01-28,5094
758,2015-01-29,4628
759,2015-01-30,4848
760,2015-01-31,3331
761,2015-02-01,3587
762,2015-02-02,3881
763,2015-02-03,5117
764,2015-02-04,6074
765,2015-02-05,4986
766,2015-02-06,4927
767,2015-02-07,4925
768,2015-02-08,6647
769,2015-02-09,4939
770,2015-02-10,5667
771,2015-02-11,6592
772,2015-02-12,5439
773,2015-02-13,4010
774,2015-02-14,2933
775,2015-02-15,1041
776,2015-02-16,1315
777,2015-02-17,1178
778,2015-02-18,3143
779,2015-02-19,2682
780,2015-02-20,2484
781,2015-02-21,741
782,2015-02-22,1989
783,2015-02-23,3597
784,2015-02-24,3871
785,2015-02-25,4950
786,2015-02-26,3475
787,2015-02-27,4640
788,2015-02-28,3222
789,2015-03-01,768
790,2015-03-02,4067
791,2015-03-03,3831
792,2015-03-04,4141
793,2015-03-05,538
794,2015-03-06,1928
795,2015-03-07,3182
796,2015-03-08,5348
797,2015-03-09,7942
798,2015-03-10,3941
799,2015-03-11,7700
800,2015-03-12,8999
801,2015-03-13,7908
802,2015-03-14,3547
803,2015-03-15,6416
804,2015-03-16,8781
805,2015-03-17,9027
806,2015-03-18,7382
807,2015-03-19,8044
808,2015-03-20,2905
809,2015-03-21,9043
810,2015-03-22,7953
811,2015-03-23,7967
812,2015-03-24,7729
813,2015-03-25,7423
814,2015-03-26,8536
815,2015-03-27,6002
816,2015-03-28,4573
817,2015-03-29,5672
818,2015-03-30,8952
819,2015-03-31,8011
820,2015-04-01,9877
821,2015-04-02,11276
822,2015-04-03,6428
823,2015-04-04,10438
824,2015-04-05,10187
825,2015-04-06,12640
826,2015-04-07,11117
827,2015-04-08,7441
828,2015-04-09,7828
829,2015-04-10,9398
830,2015-04-11,16746
831,2015-04-12,15752
832,2015-04-13,12696
833,2015-04-14,3825
834,2015-04-15,11129
835,2015-04-16,11691
836,2015-04-17,12550
837,2015-04-18,16008
838,2015-04-19,10255
839,2015-04-20,9068
840,2015-04-21,11644
841,2015-04-22,10545
842,2015-04-23,10107
843,2015-04-24,10376
844,2015-04-25,7192
845,2015-04-26,10337
846,2015-04-27,8869
847,2015-04-28,10999
848,2015-04-29,11664
849,2015-04-30,10257
850,2015-05-01,10356
851,2015-05-02,12579
852,2015-05-03,12106
853,2015-05-04,11992
854,2015-05-05,11100
855,2015-05-06,11489
856,2015-05-07,12322
857,2015-05-08,13431
858,2015-05-09,12851
859,2015-05-10,11100
860,2015-05-11,12139
861,2015-05-12,12067
862,2015-05-13,11780
863,2015-05-14,12617
864,2015-05-15,13651
865,2015-05-16,11208
866,2015-05-17,10942
867,2015-05-18,10445
868,2015-05-19,12068
869,2015-05-20,12986
870,2015-05-21,6983
871,2015-05-22,12531
872,2015-05-23,12720
873,2015-05-24,13579
874,2015-05-25,12009
875,2015-05-26,11354
876,2015-05-27,11475
877,2015-05-28,11638
878,2015-05-29,12067
879,2015-05-30,12672
880,2015-05-31,10928
881,2015-06-01,8106
882,2015-06-02,8055
883,2015-06-03,9882
884,2015-06-04,6360
885,2015-06-05,11082
886,2015-06-06,12685
887,2015-06-07,11675
888,2015-06-08,9967
889,2015-06-09,11772
890,2015-06-10,11590
891,2015-06-11,11854
892,2015-06-12,10872
893,2015-06-13,11768
894,2015-06-14,9515
895,2015-06-15,9987
896,2015-06-16,11500
897,2015-06-17,11175
898,2015-06-18,9995
899,2015-06-19,12024
900,2015-06-20,9318
901,2015-06-21,8784
902,2015-06-22,11263
903,2015-06-23,9190
904,2015-06-24,12590
905,2015-06-25,11131
906,2015-06-26,13042
907,2015-06-27,3305
908,2015-06-28,11621
909,2015-06-29,12205
910,2015-06-30,11980
911,2015-07-01,11223
912,2015-07-02,11257
913,2015-07-03,12791
914,2015-07-04,10288
915,2015-07-05,12199
916,2015-07-06,10902
917,2015-07-07,12223
918,2015-07-08,9495
919,2015-07-09,11045
920,2015-07-10,13013
921,2015-07-11,12420
922,2015-07-12,11711
923,2015-07-13,10224
924,2015-07-14,11591
925,2015-07-15,12088
926,2015-07-16,13257
927,2015-07-17,12627
928,2015-07-18,11096
929,2015-07-19,10148
930,2015-07-20,10856
931,2015-07-21,11811
932,2015-07-22,12934
933,2015-07-23,12992
934,2015-07-24,13339
935,2015-07-25,12902
936,2015-07-26,11314
937,2015-07-27,10919
938,2015-07-28,11976
939,2015-07-29,12170
940,2015-07-30,10808
941,2015-07-31,12396
942,2015-08-01,12043
943,2015-08-02,11447
944,2015-08-03,12085
945,2015-08-04,11626
946,2015-08-05,12501
947,2015-08-06,12617
948,2015-08-07,12181
949,2015-08-08,12970
950,2015-08-09,11651
951,2015-08-10,10494
952,2015-08-11,11342
953,2015-08-12,12485
954,2015-08-13,12435
955,2015-08-14,12549
956,2015-08-15,12082
957,2015-08-16,10192
958,2015-08-17,10971
959,2015-08-18,11595
960,2015-08-19,11966
961,2015-08-20,10192
962,2015-08-21,12902
963,2015-08-22,12339
964,2015-08-23,10981
965,2015-08-24,10283
966,2015-08-25,12672
967,2015-08-26,12330
968,2015-08-27,12406
969,2015-08-28,12210
970,2015-08-29,11526
971,2015-08-30,10188
972,2015-08-31,11052
973,2015-09-01,11522
974,2015-09-02,11378
975,2015-09-03,11131
976,2015-09-04,11050
977,2015-09-05,10867
978,2015-09-06,12400
979,2015-09-07,10351
980,2015-09-08,10965
981,2015-09-09,11065
982,2015-09-10,10356
983,2015-09-11,12167
984,2015-09-12,6665
985,2015-09-13,10397
986,2015-09-14,11156
987,2015-09-15,11943
988,2015-09-16,11938
989,2015-09-17,11949
990,2015-09-18,11956
991,2015-09-19,11580
992,2015-09-20,10998
993,2015-09-21,7816
994,2015-09-22,11952
995,2015-09-23,12773
996,2015-09-24,12514
997,2015-09-25,11403
